ID ,Smiles,MolWeight,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRLOW,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,EState_VSA5,fr_Ar_COO,VSA_EState9,Enhancement Factor
33,CC(C)Cc1ccc(C(=O)O)cc1F,196.221,13.3074537,0.004623961,-1.097225057,0.806562425,10.57142857,1.5,19.14218928,0.069605879,0,0,0,6.066367068,1,0,220
34,CCOC(=O)CC(COc1ccccc1C(F)(F)F)c1ccc(OC)cc1,382.378,13.12165219,0.005601616,-4.520491809,0.613700806,12.33333333,1.074074074,19.41319291,-0.143889549,0,0,0,25.30889875,0,1.53004329,40
35,CC(C)(C)NC(=O)C(C)(C)c1ccc(Cl)cc1S(=O)(=O)NC(=O)C(F)(F)F,428.86,12.6201633,0.092025739,-5.397881031,0.770838647,13.22222222,1,35.49569222,-0.171002187,0,5.907179729,10.02329115,25.98020854,0,-4.940153416,10.05649718
36,OCCN(CCc1ccc(Cl)cc1)CCc1ccc(C(F)(F)F)cc1,371.83,12.57629718,0.049235496,-4.305522105,0.741253993,11.92,0.8,35.49569165,-0.137139275,0,0,0,12.13273414,0,0,189.3203883
37,Nc1nc(N)c(-c2c(Cl)c(Cl)ccc2)nn1,256.096,6.025202979,0.013333806,0.013333806,0.813809513,10.375,1.0625,35.49826139,0.999525005,5.817862778,5.948339281,0,0,0,0,14.70588235
38,CCCN(C(=O)Cc1ccccc1S(=O)(=O)Nc1nnc(C)cc1)C1CCN(C(=O)NCc2ccccc2)CC1,564.712,13.54704148,0.01819397,-3.982100337,0.386626744,14,0.975,32.23327331,-0.133278011,5.817862778,5.907179729,10.02329115,6.066367068,0,-3.982100337,9.243243243
39,CCOC(=O)C1=C(C)NC(C)=C(COCCN)C1c1ccccc1Cl,364.873,12.63916612,0.312061979,-0.346069828,0.574112246,17.56,1.28,35.49569186,-0.138445528,0,0,0,0,0,0,3.071672355
40,CC(C)NCCOCCOCc1cccc2c1cccc2O,303.402,9.859940722,0.305866515,0.305866515,0.699057941,11.40909091,0.954545455,16.52113822,0.041618155,0,0,0,0,0,0,166.6666667
41,CCOC(=O)C1=C(C)NC(C)=C(C=O)C1c1ccc([N+](=O)[O-])cc1,330.34,12.36873047,0.056087701,-0.621662887,0.385496906,17.375,1.291666667,16.62835291,-0.384447879,0,0,5.687386275,12.13273414,0,0,1250
42,CCNc1cc(C(=O)O)c(Cl)cc1S(N)(=O)=O,278.717,11.29360812,0.122037037,-3.960506897,0.764338985,11.23529412,1.529411765,35.49569188,0.069675161,0,10.02329115,0,0,1,-3.960506897,2
43,COc1c(O)ccc([C@H]2Oc3c(ccc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)c3)O[C@@H]2CO)c1,482.441,12.74031359,0.054009802,-1.62236231,0.374199888,22.77142857,0.828571429,16.58628205,-0.013019741,47.41391288,5.783244946,0,19.24253168,0,1.413266775,12.5
44,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4cc(O)c(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,610.521,13.56998897,0.031297856,-1.968199406,0.139517843,33,0.744186047,16.73162185,-0.31829394,23.54929781,17.46832895,0,12.99010427,0,0,20
45,CC(C)C[C@H](NC(=O)C1CCC(c2nccc(Cl)c2Cl)CC1)C1CC(O)CC(C)(C)C1,469.497,13.20335707,0.032774235,-0.272501823,0.508227976,29.5483871,1.225806452,35.49826296,-0.127409309,0,5.907179729,0,0,0,0,10
46,CCOC(=O)c1nc(C)c(NC)c(C=O)c1-c1ccc(OCc2cccc(C#N)c2)cc1,429.476,12.56876782,0.09021928,-0.588838706,0.41429315,10.1875,1.21875,16.53294781,0.051999136,11.98008852,0,0,0,0,1.697495458,250
47,CC(C)NCCOC(COc1ccccc1O)C(C)C,281.396,9.661388497,0.017192933,0.017192933,0.683426522,12.9,1.15,16.53578657,-0.006773006,11.49902367,0,0,0,0,0,1.026785714
48,Clc1ccc(CCOCn2ccnc2)cc1Cl,271.147,5.922722562,0.515200285,0.515200285,0.779087728,10.70588235,1.235294118,35.49826129,0.079333245,0,0,0,0,0,0,55
49,CCC(=O)O[C@@H]1O[C@@H](C)[C@H](O[C@H](OC(C)=O)[C@@H]2O[C@H]3C[C@H]4C[C@@H](O)[C@H](N(C)C)[C@H](OC(C)=O)[C@H]4O[C@@H](C)[C@@H](CC)C(=O)OC[C@H]3C[C@@H]2C)C[C@H](C)[C@H]1O,757.915,13.49734701,0.094521474,-1.187496197,0.198618632,41.71698113,0.867924528,16.74407704,-0.276858656,0,12.58005346,0,13.8474744,0,3.6240722,1.5
50,CC[C@H]1C(=O)OC[C@H]2C[C@H](C)[C@@H](OC(C)=O)[C@H](O[C@@H]3C[C@H](C)[C@@H](O)[C@H](OC(C)=O)O[C@H]3C)O[C@H]2C[C@H]2C[C@@H](O)[C@H](N(C)C)[C@@H](OC)C[C@H]2OC[CH]C[C@H](C)[C@@H](O)C[C@H]1OC,859.084,13.97207129,0.022747781,-1.20399981,0.236910616,43.18333333,0.766666667,16.74003111,-0.269466046,12.39399312,6.290026729,0,20.95727194,0,7.018230218,10
51,O=C(/C=C/C=C/c1cc2c(cc1)OCO2)N1CCCCC1,285.343,11.93149016,0.101885813,0.101885813,0.632788302,17.80952381,1.047619048,16.69670146,-0.126367685,11.49902367,12.70012204,0,6.420821623,0,0,5
